"","Year","COP_SS_MAP","COP_SS_lower95","COP_SS_upper95"
"1",1960,9.37018959811031,8.79844833507805,9.89770445662825
"2",1961,9.36476456526636,8.845378962319,9.83966886501542
"3",1962,9.38555869580817,8.89928751701743,9.83787888689078
"4",1963,9.39476875973469,8.91812632860439,9.8370752931143
"5",1964,9.40348863974227,8.93115403996637,9.83845751074083
"6",1965,9.36758116887633,8.85398604422772,9.81067715471797
"7",1966,9.4131224339644,8.91096613018878,9.87695303036716
"8",1967,9.46410700939128,8.93627400123748,10.0056257833815
"9",1968,9.51050568279204,8.98534102841148,10.0980142178243
"10",1969,9.55679890428526,9.06265541218657,10.1495319915352
"11",1970,9.54048904127943,9.01858120954063,10.1530507350731
"12",1971,9.52412382450086,9.00381992954706,10.1114351761543
"13",1972,9.5058074630967,9.00926113840508,10.0266533978698
"14",1973,9.50433413959623,8.99023797445244,10.0426554778902
"15",1974,9.501487135197,8.99514941772395,10.0265127135043
"16",1975,9.50011016013572,9.05031357143,9.95951968070658
"17",1976,9.45604011985413,8.96020785259132,9.8883331425063
"18",1977,9.52984089240664,9.10461891738355,9.97186638941202
"19",1978,9.54266598724158,9.13387836132455,9.97007984964629
"20",1979,9.57331615425312,9.17738838819525,10.0322429621175
"21",1980,9.60909086760357,9.22055252566489,10.1061937358207
"22",1981,9.60924423637821,9.22465886850854,10.0959019761288
"23",1982,9.57209338046266,9.18820632360132,10.0175617313393
"24",1983,9.52717114907467,9.09652353998309,9.94616839571912
"25",1984,9.61535950088764,9.22344176924487,10.120389522535
"26",1985,9.61905570222229,9.22224536041321,10.1370332753952
"27",1986,9.58904396559629,9.19047111349319,10.0865571194049
"28",1987,9.53570367049435,9.13274876163561,9.98696655522933
"29",1988,9.50080443108703,9.09285854938781,9.94242038580029
"30",1989,9.43003804012737,8.98894295308381,9.83593482840261
"31",1990,9.33326832793716,8.79102905837689,9.73981329506695
"32",1991,9.24976744805469,8.57381678496534,9.69684086375703
"33",1992,9.16811189385071,8.40210585583863,9.66111064745365
"34",1993,9.18633523515683,8.50733098368668,9.6571934154819
"35",1994,9.24206108278764,8.64825483463396,9.67816378440935
"36",1995,9.30615202762487,8.78001287872419,9.70646724257185
"37",1996,9.37950289048923,8.91276936454057,9.77564851202753
"38",1997,9.38024738183302,8.88921159819528,9.77365003880426
"39",1998,9.41346630046242,8.91818586029366,9.81457957619781
"40",1999,9.51591707242719,9.0843973014614,9.94404875104078
"41",2000,9.61703043644338,9.2135721331473,10.1078815303541
"42",2001,9.68521651179141,9.26838883643078,10.2121558133493
"43",2002,9.75116094027214,9.29649355980001,10.3349594827084
"44",2003,9.80656419173858,9.31640286859231,10.4551476477212
"45",2004,9.74539001275588,9.27251057447154,10.334908469533
"46",2005,9.74538561148269,9.23856839065967,10.3793233738999
